id,ocupacion
1,"FUNCIONARIOS, DIRECTORES Y JEFES  "
2,PROFESIONISTAS Y TÉCNICOS
3,TRABAJADORES AUXILIARES EN ACTIVIDADES ADMINISTRATIVAS
4,"COMERCIANTES, EMPLEADOS EN VENTAS Y AGENTES DE VENTAS"
5,TRABAJADORES EN SERVICIOS PERSONALES Y DE VIGILANCIA
6,"TRABAJADORES EN ACTIVIDADES AGRÍCOLAS, GANADERAS, FORESTALES, CAZA Y PESCA"
7,"TRABAJADORES ARTESANALES, EN LA CONSTRUCCIÓN Y OTROS OFICIOS"
8,"OPERADORES DE MAQUINARIA INDUSTRIAL, ENSAMBLADORES, CHOFERES Y CONDUCTORES DE TRANSPORTE"
9,TRABAJADORES EN ACTIVIDADES ELEMENTALES Y DE APOYO
10,NINGUNO
